City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Yar-Sale,RU,66.8333,70.8333,2.96,78,100,4.66,overcast clouds
279,Pemberton,CA,50.3164,-122.8027,23.83,62,99,2.19,overcast clouds
280,Oranjemund,NA,-28.55,16.4333,12.5,90,8,5.26,clear sky
281,Cherdyn,RU,60.403,56.4787,4.53,80,100,2.31,overcast clouds
282,Port Hardy,CA,50.6996,-127.4199,16.1,82,75,1.54,broken clouds
283,Kavieng,PG,-2.5744,150.7967,29.45,65,67,7.66,broken clouds
284,Tyukhtet,RU,56.5389,89.3011,2.36,68,100,4.79,overcast clouds
285,Puerto Ayacucho,VE,5.6639,-67.6236,24.22,90,100,1.98,moderate rain
286,Geraldton,AU,-28.7667,114.6,18.23,77,100,5.66,overcast clouds
287,Smithers,CA,54.7804,-127.1743,12.18,71,75,0.0,broken clouds
288,Inhambane,MZ,-23.865,35.3833,23.29,77,73,2.75,broken clouds
289,Inongo,CD,-1.95,18.2667,21.79,91,86,1.35,overcast clouds
290,Tasiilaq,GL,65.6145,-37.6368,2.09,65,3,3.32,clear sky
291,Luderitz,NA,-26.6481,15.1594,12.05,82,6,7.5,clear sky
292,Georgetown,MY,5.4112,100.3354,28.27,90,20,1.03,few clouds
293,Lazaro Cardenas,MX,17.9583,-102.2,26.42,83,76,2.16,broken clouds
294,Matay,EG,28.419,30.7792,22.11,63,0,4.13,clear sky
295,Saint George,US,37.1041,-113.5841,29.33,28,0,1.34,clear sky
296,Salacgriva,LV,57.7536,24.3581,10.94,84,100,3.51,overcast clouds
297,Zimmi,SL,7.3153,-11.3061,22.35,98,100,0.2,overcast clouds
298,Dingle,PH,10.9995,122.6711,29.75,73,100,3.9,overcast clouds
299,Codrington,AU,-38.2667,141.9667,11.65,95,100,7.49,light rain
300,Mahibadhoo,MV,3.7833,72.9667,27.66,76,100,7.34,overcast clouds
301,Guane,CU,22.2025,-84.0875,21.66,73,80,2.45,broken clouds
302,Nisia Floresta,BR,-6.0911,-35.2086,26.21,89,18,3.14,few clouds
303,Platteville,US,42.7342,-90.4785,15.05,51,0,2.57,clear sky
304,Flinders,AU,-34.5833,150.8552,16.32,81,100,1.79,moderate rain
305,Vila Franca Do Campo,PT,37.7167,-25.4333,21.22,91,42,1.96,scattered clouds
306,Honningsvag,NO,70.9821,25.9704,5.86,75,5,6.69,clear sky
307,Inuvik,CA,68.3499,-133.7218,1.48,83,20,4.63,few clouds
308,Thompson,CA,55.7435,-97.8558,7.09,70,40,1.03,scattered clouds
309,Redcliffe,AU,-27.2307,153.0973,24.52,56,100,4.94,overcast clouds
310,Eten,PE,-6.9081,-79.8642,16.42,86,93,6.31,overcast clouds
311,Kloulklubed,PW,7.0419,134.2556,28.28,77,100,3.31,overcast clouds
312,Aktau,KZ,43.65,51.2,14.32,26,3,8.14,clear sky
313,Tiarei,PF,-17.5333,-149.3333,29.01,73,33,11.25,scattered clouds
314,Dawei,MM,14.0833,98.2,27.86,79,96,1.31,overcast clouds
315,Muscat,OM,23.6139,58.5922,28.01,55,3,2.12,clear sky
316,Pokhara,NP,28.2333,83.9833,20.36,94,100,0.88,overcast clouds
317,Quatre Cocos,MU,-20.2078,57.7625,20.06,73,85,4.95,overcast clouds
318,Wakkanai,JP,45.4094,141.6739,7.99,76,75,7.2,broken clouds
319,Kamaishi,JP,39.2667,141.8833,16.56,61,91,1.88,light rain
320,Kangaatsiaq,GL,68.3065,-53.4641,0.18,62,16,4.54,few clouds
321,Eldama Ravine,KE,0.0516,35.7308,11.67,91,3,1.19,clear sky
322,Hay River,CA,60.8156,-115.7999,4.99,70,75,4.12,broken clouds
323,Tiksi,RU,71.6872,128.8694,-5.45,84,100,7.25,overcast clouds
324,Mandalgovi,MN,45.7625,106.2708,1.07,27,79,0.46,broken clouds
325,Puerto El Triunfo,SV,13.2833,-88.55,25.0,88,97,1.48,overcast clouds
326,Klaksvik,FO,62.2266,-6.589,9.51,83,3,16.75,light rain
327,Paamiut,GL,61.994,-49.6678,3.04,97,100,11.85,light rain
328,Port-Gentil,GA,-0.7193,8.7815,25.01,82,68,3.73,broken clouds
329,Forio,IT,40.7342,13.8646,18.23,50,29,5.7,scattered clouds
330,Bocana De Paiwas,NI,12.7857,-85.1227,22.74,95,100,2.18,overcast clouds
331,Provideniya,RU,64.3833,-173.3,4.09,87,75,7.15,broken clouds
332,Wanning,CN,18.8003,110.3967,28.82,75,4,3.79,clear sky
333,Bourail,NC,-21.5667,165.4833,24.63,47,0,4.38,clear sky
334,Mehamn,NO,71.0357,27.8492,3.97,93,20,1.54,few clouds
335,Port Shepstone,ZA,-30.7414,30.455,19.37,79,100,6.9,overcast clouds
336,Palana,RU,59.1167,159.9667,4.84,85,100,12.15,light rain
337,Nemuro,JP,43.3236,145.575,12.56,59,96,8.5,overcast clouds
338,Guerrero Negro,MX,27.9769,-114.0611,21.46,77,2,5.52,clear sky
339,Vardo,NO,70.3705,31.1107,6.99,76,100,4.12,overcast clouds
340,Kaeo,NZ,-35.1,173.7833,17.96,68,100,5.47,light rain
341,Eyl,SO,7.9803,49.8164,24.36,83,59,4.65,broken clouds
342,Hoquiam,US,46.9809,-123.8893,15.99,86,100,3.09,overcast clouds
343,Fontem,CM,5.4685,9.8818,18.84,96,100,0.63,light rain
344,Ambilobe,MG,-13.2,49.05,17.56,84,8,1.61,clear sky
